0 115
1 76
2 89
3 92
4 118
5 184
6 243
7 384
8 440
9 527
10 819
11 1228
12 1783
13 2838
14 4502
15 7316
16 11743
17 29154
18 28011
19 45287
20 73258
21 118587
22 191754
23 310209
24 501723
25 833382
26 1.39624e+06
27 2.3104e+06
28 3.59959e+06
29 6.18668e+06
30 9.23559e+06
31 1.7116e+07
32 2.66947e+07
33 4.12183e+07
34 6.51851e+07
35 1.03978e+08
36 1.65865e+08
37 2.68916e+08
38 4.33353e+08
39 7.43849e+08
40 1.13657e+09
41 1.83474e+09
42 3.02383e+09
43 4.89249e+09
44 8.10632e+09
45 1.29649e+10
46 2.13316e+10
47 3.42811e+10
48 5.5283e+10
49 8.82033e+10
50 1.42611e+11
