0 178
1 38
2 87
3 73
4 68
5 69
6 105
7 69
8 72
9 80
10 85
11 90
12 97
13 84
14 107
15 102
16 114
17 110
18 112
19 109
20 119
21 121
22 132
23 135
24 150
25 141
26 155
27 190
28 165
29 163
30 212
31 228
32 243
33 253
34 243
35 239
36 257
37 272
38 254
39 279
40 284
41 347
42 291
43 313
44 319
45 308
46 334
47 307
48 373
49 346
50 333
